หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,งบแผนงาน,ประเภทแผนงาน,แผนงาน
1,งบกลาง,14878887438,ก,486536500,ทั่วไป/บริหาร/อื่นๆ,เงินสำรองจ่ายท่ัวไป
1,งบกลาง,14878887438,ข,2700000000,ทั่วไป/บริหาร/อื่นๆ,เงินช่วยเหลือข้าราชการและลูกจ้าง
1,งบกลาง,14878887438,ค,650000000,ทั่วไป/บริหาร/อื่นๆ,เงินบำเหน็จลูกจ้าง
1,งบกลาง,14878887438,ง,200000000,โยธา/ก่อสร้าง/จราจร,ค่าติดต้ังไฟฟ้าสาธารณะ
1,งบกลาง,14878887438,จ,20000000,ทั่วไป/บริหาร/อื่นๆ,เงินสำรองสำหรับค่างาน ส่วนท่ีเพิ่มตามสัญญา แบบปรับราคาได้
1,งบกลาง,14878887438,ช,4395109000,ทั่วไป/บริหาร/อื่นๆ,ค่าใช้จ่ายเก่ียวกับภารกิจและ หรือนโยบายท่ีได้รับมอบจากรัฐบาล
1,งบกลาง,14878887438,ซ,2000000000,ทั่วไป/บริหาร/อื่นๆ,เงินรางวัลและเงินช่วยเหลือสำหรับผลการปฏิบัติราชการประจำปี
1,งบกลาง,14878887438,ญ,1555873938,ทั่วไป/บริหาร/อื่นๆ,เงินสำรองสำหรับภาระผูกพันท่ีค้างจ่ายตามกฎหมาย
1,งบกลาง,14878887438,ฎ,218000000,พัฒนาชุมชน/อาชีพ,เงินช่วยค่าครองชีพผู้ได้รับบำนาญของกรุงเทพมหานคร
1,งบกลาง,14878887438,ฏ,2353368000,ทั่วไป/บริหาร/อื่นๆ,เงินสำรองสำหรับจ่ายเป็นเงินบำเหน็จบำนาญข้าราชการกรุงเทพมหานคร
2,สำนักงานเลขานุการสภากรุงเทพมหานคร,82258900,,82258900,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ: งานบริหารท่ัวไป
3,สำนักงานเลขานุการผู้ว่าราชการกรุงเทพมหานคร,70920000,,70920000,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ: งานบริหารท่ัวไป
4,สำนักงานคณะกรรมการข้าราชการกรุงเทพมหานคร,199359000,,199359000,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ: งานบริหารงานบุคคล
5,สำนักปลัดกรุงเทพมหานคร,1252316900,,1252316900,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
5,สำนักปลัดกรุงเทพมหานคร,1252316900,ก,222688400,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารท่ัวไป
5,สำนักปลัดกรุงเทพมหานคร,1252316900,ข,302761800,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารงานปกครองและทะเบียน: งานปกครองและทะเบียน
5,สำนักปลัดกรุงเทพมหานคร,1252316900,ค,29591800,การคลัง,แผนงานบริหารการคลัง: งานตรวจสอบภายใน
5,สำนักปลัดกรุงเทพมหานคร,1252316900,ง,160469500,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารงานบุคคล
5,สำนักปลัดกรุงเทพมหานคร,1252316900,จ,536805400,ทั่วไป/บริหาร/อื่นๆ,แผนงานส่งเสริมระบบบริหาร
6,สำนักการแพทย์,4124634800,,4124634800,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
6,สำนักการแพทย์,4124634800,ก,99145300,อนามัย/สาธารณะสุข,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการสาธารณสุข
6,สำนักการแพทย์,4124634800,ข,4008758600,การแพทย์/โรงพยาบาล,แผนงานบริการด้านการแพทย์
6,สำนักการแพทย์,4124634800,ค,16730900,การแพทย์/โรงพยาบาล,แผนงานพัฒนาด้านการแพทย์และอนามัย: งานพัฒนาระบบบริการทางการแพทย์
7,สำนักอนามัย,2474279800,,2474279800,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
7,สำนักอนามัย,2474279800,ก,85100100,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารท่ัวไป
7,สำนักอนามัย,2474279800,ข,64194500,สิ่งแวดล้อม,แผนงานอนามัยส่ิงแวดล้อม
7,สำนักอนามัย,2474279800,ค,2324985200,อนามัย/สาธารณะสุข,แผนงานอนามัย
8,สำนักการศึกษา,1241703800,,1241703800,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
8,สำนักการศึกษา,1241703800,ก,511645100,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารท่ัวไป
8,สำนักการศึกษา,1241703800,ข,730058700,การศึกษา,แผนงานพัฒนาคุณภาพการศึกษา
9,สำนักการโยธา,9229858000,,9229858000,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
9,สำนักการโยธา,9229858000,ก,134049980,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารท่ัวไป
9,สำนักการโยธา,9229858000,ข,7504680720,โยธา/ก่อสร้าง/จราจร,แผนงานการโยธา
9,สำนักการโยธา,9229858000,,8000000,โยธา/ก่อสร้าง/จราจร,ถนนหน้าพระลาน
9,สำนักการโยธา,9229858000,ค,1591127300,โยธา/ก่อสร้าง/จราจร,แผนงานพัฒนาการโยธาและระบบจราจร
10,สำนักการระบายน้ำ,8213452000,,8213452000,น้ำท่วม/ทางเท้า,รายจ่ายประจำ
10,สำนักการระบายน้ำ,8213452000,ก,37969359,น้ำท่วม/ทางเท้า,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการระบายน้ำ
10,สำนักการระบายน้ำ,8213452000,ข,2499271826,น้ำท่วม/ทางเท้า,แผนงานพัฒนาระบบระบายน้ำ
10,สำนักการระบายน้ำ,8213452000,ค,2765737870,น้ำท่วม/ทางเท้า,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม
10,สำนักการระบายน้ำ,8213452000,ง,2910472945,น้ำท่วม/ทางเท้า,แผนงานจัดการคุณภาพน้ำ
10,สำนักการระบายน้ำ,8213452000,,160804000,น้ำท่วม/ทางเท้า,ริมคลองแสนแสบช่วงถนนวิทยุ-คลองตัน เข้าโรงควบคุมคุณภาพน้ำดินแดง
11,สำนักการคลัง,3606450400,,3606450400,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
11,สำนักการคลัง,3606450400,ก,21528800,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไป
11,สำนักการคลัง,3606450400,ข,3230030900,การคลัง,แผนงานบริหารการคลัง
11,สำนักการคลัง,3606450400,ค,354890700,ทั่วไป/บริหาร/อื่นๆ,แผนงานส่งเสริมระบบบริหาร
12,สำนักเทศกิจ,184580000,,184580000,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
