หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,แผนงาน,งบแผนงาน
1,งบกลาง,14878887438,ก,เงินสำรองจ่ายท่ัวไป,486536500
1,งบกลาง,14878887438,ข,เงินช่วยเหลือข้าราชการและลูกจ้าง,2700000000
1,งบกลาง,14878887438,ค,เงินบำเหน็จลูกจ้าง,650000000
1,งบกลาง,14878887438,ง,ค่าติดต้ังไฟฟ้าสาธารณะ,200000000
1,งบกลาง,14878887438,จ,เงินสำรองสำหรับค่างาน ส่วนท่ีเพิ่มตามสัญญา แบบปรับราคาได้,20000000
1,งบกลาง,14878887438,ช,ค่าใช้จ่ายเก่ียวกับภารกิจและ หรือนโยบายท่ีได้รับมอบจากรัฐบาล,4395109000
1,งบกลาง,14878887438,ซ,เงินรางวัลและเงินช่วยเหลือสำหรับผลการปฏิบัติราชการประจำปี,2000000000
1,งบกลาง,14878887438,ญ,เงินสำรองสำหรับภาระผูกพันท่ีค้างจ่ายตามกฎหมาย,1555873938
1,งบกลาง,14878887438,ฎ,เงินช่วยค่าครองชีพผู้ได้รับบำนาญของกรุงเทพมหานคร,218000000
1,งบกลาง,14878887438,ฏ,เงินสำรองสำหรับจ่ายเป็นเงินบำเหน็จบำนาญข้าราชการกรุงเทพมหานคร,2353368000
2,สำนักงานเลขานุการสภากรุงเทพมหานคร,82258900,,รายจ่ายประจำ: งานบริหารท่ัวไป,82258900
3,สำนักงานเลขานุการผู้ว่าราชการกรุงเทพมหานคร,70920000,,รายจ่ายประจำ: งานบริหารท่ัวไป,70920000
4,สำนักงานคณะกรรมการข้าราชการกรุงเทพมหานคร,199359000,,รายจ่ายประจำ: งานบริหารงานบุคคล,199359000
5,สำนักปลัดกรุงเทพมหานคร,1252316900,,รายจ่ายประจำ,1252316900
5,สำนักปลัดกรุงเทพมหานคร,1252316900,ก,แผนงานบริหารท่ัวไป,222688400
5,สำนักปลัดกรุงเทพมหานคร,1252316900,ข,แผนงานบริหารงานปกครองและทะเบียน: งานปกครองและทะเบียน,302761800
5,สำนักปลัดกรุงเทพมหานคร,1252316900,ค,แผนงานบริหารการคลัง: งานตรวจสอบภายใน,29591800
5,สำนักปลัดกรุงเทพมหานคร,1252316900,ง,แผนงานบริหารงานบุคคล,160469500
5,สำนักปลัดกรุงเทพมหานคร,1252316900,จ,แผนงานส่งเสริมระบบบริหาร,536805400
6,สำนักการแพทย์,4124634800,,รายจ่ายประจำ,4124634800
6,สำนักการแพทย์,4124634800,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการสาธารณสุข,99145300
6,สำนักการแพทย์,4124634800,ข,แผนงานบริการด้านการแพทย์,4008758600
6,สำนักการแพทย์,4124634800,ค,แผนงานพัฒนาด้านการแพทย์และอนามัย: งานพัฒนาระบบบริการทางการแพทย์,16730900
7,สำนักอนามัย,2474279800,,รายจ่ายประจำ,2474279800
7,สำนักอนามัย,2474279800,ก,แผนงานบริหารท่ัวไป,85100100
7,สำนักอนามัย,2474279800,ข,แผนงานอนามัยส่ิงแวดล้อม,64194500
7,สำนักอนามัย,2474279800,ค,แผนงานอนามัย,2324985200
8,สำนักการศึกษา,1241703800,,รายจ่ายประจำ,1241703800
8,สำนักการศึกษา,1241703800,ก,แผนงานบริหารท่ัวไป,511645100
