หมายเลขงบ,ชื่องบ,แผนงาน,ชื่องบแจกแจง,หมายเลขงบแผนงาน,หมายเลขแจกแจงงบ,งบแจกแจง
1,งบกลาง,เงินสำรองจ่ายท่ัวไป,กรณีฉุกเฉินหรือจำเป็น,ก,1,100000000
1,งบกลาง,เงินสำรองจ่ายท่ัวไป,กรณีค่าใช้จ่ายต่าง ๆ เก่ียวกับน้ำท่วม,ก,2,100000000
1,งบกลาง,เงินสำรองจ่ายท่ัวไป,กรณีค่าใช้จ่ายเพื่อการพัฒนากรุงเทพมหานคร,ก,3,286536500
5,สำนักปลัดกรุงเทพมหานคร,แผนงานบริหารท่ัวไป,งานบริหารท่ัวไป,ก,1,212888400
5,สำนักปลัดกรุงเทพมหานคร,แผนงานบริหารท่ัวไป,โครงการพัฒนาระบบสารบรรณอิเล็กทรอนิกส์ของกรุงเทพมหานคร,ก,2,9800000
5,สำนักปลัดกรุงเทพมหานคร,แผนงานบริหารงานบุคคล,งานการเจ้าหน้าท่ี,ง,1,98203100
5,สำนักปลัดกรุงเทพมหานคร,แผนงานบริหารงานบุคคล,โครงการก่อสร้างอาคารสงเคราะห์ข้าราชการและลูกจ้างประจำ ของกรุงเทพมหานครในพื นท่ีเขตบางบอน,ง,2,62266400
5,สำนักปลัดกรุงเทพมหานคร,แผนงานส่งเสริมระบบบริหาร,งานพัฒนาบุคลากรและองค์การ,จ,1,281244900
5,สำนักปลัดกรุงเทพมหานคร,แผนงานส่งเสริมระบบบริหาร,งานกฎหมายและคดี,จ,2,38106200
5,สำนักปลัดกรุงเทพมหานคร,แผนงานส่งเสริมระบบบริหาร,งานประชาสัมพันธ์,จ,3,101478900
5,สำนักปลัดกรุงเทพมหานคร,แผนงานส่งเสริมระบบบริหาร,งานผู้ตรวจราชการกรุงเทพมหานคร,จ,4,63695700
5,สำนักปลัดกรุงเทพมหานคร,แผนงานส่งเสริมระบบบริหาร,งานการต่างประเทศ,จ,5,52279700
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลกลาง,ข,1,771780900
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลตากสิน,ข,2,759323000
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,โครงการก่อสร้างอาคารอเนกประสงค์โรงพยาบาลตากสิน,ข,3,75947000
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลเจริญกรุงประชารักษ์,ข,4,760261000
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,โครงการเพ่ิมศักยภาพหน่วยห้องปฏิบัติการสวนหัวใจและหลอดเลือด โรงพยาบาลเจริญกรุงประชารักษ์,ข,5,27000000
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลหลวงพ่อทวีศักด์ิชุตินธโร อุทิศ,ข,6,221608200
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลลาดกระบังกรุงเทพมหานคร,ข,7,162365000
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,โครงการก่อสร้างอาคารหอผู้ป่วยโรงพยาบาลลาดกระบังกรุงเทพมหานคร,ข,8,1000000
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลราชพิพัฒน์,ข,9,268341300
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,โครงการก่อสร้างอาคารเวชภัณฑ์กลางและหน่วยงานสนับสนุน โรงพยาบาลราชพิพัฒน์,ข,10,79013000
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลสิรินธร,ข,11,436684900
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานบริการการแพทย์ฉุกเฉินกรุงเทพมหานคร,ข,12,55921800
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลเวชการุณย์รัศม์ิ,ข,13,223435200
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลผู้สูงอายุบางขุนเทียน,ข,14,116978800
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,โครงการก่อสร้างเข่ือนกั นน้ำเพื่อรองรับการพัฒนาพื นท่ีโรงพยาบาลผู้สูงอายุบางขุนเทียน,ข,15,7000000
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลคลองสามวา,ข,16,24678200
6,สำนักการแพทย์,แผนงานบริการด้านการแพทย์,งานรักษาพยาบาล โรงพยาบาลบางนากรุงเทพมหานคร,ข,17,17420300
7,สำนักอนามัย,แผนงานบริหารท่ัวไป,งานบริหารท่ัวไปด้านการสาธารณสุข,ก,1,44560400
7,สำนักอนามัย,แผนงานบริหารท่ัวไป,งานบริหารการพยาบาล,ก,2,40539700
7,สำนักอนามัย,แผนงานอนามัยส่ิงแวดล้อม,งานสุขาภิบาลส่ิงแวดล้อม,ข,1,28974600
7,สำนักอนามัย,แผนงานอนามัยส่ิงแวดล้อม,งานสุขาภิบาลอาหาร,ข,2,35219900
7,สำนักอนามัย,แผนงานอนามัย,งานเภสัชกรรม,ค,1,138286600
7,สำนักอนามัย,แผนงานอนามัย,งานทันตสาธารณสุข,ค,2,173039300
7,สำนักอนามัย,แผนงานอนามัย,งานป้องกันและบำบัดการติดยาเสพติด,ค,3,63385800
7,สำนักอนามัย,แผนงานอนามัย,งานจัดบริการสาธารณสุข,ค,4,1249899000
7,สำนักอนามัย,แผนงานอนามัย,โครงการก่อสร้างอาคารศูนย์บริการสาธารณสุข ราษฏร์บูรณะ,ค,5,398000000
7,สำนักอนามัย,แผนงานอนามัย,โครงการก่อสร้างอาคารศูนย์บริการสาธารณสุข คลองขวาง,ค,6,4710000000
7,สำนักอนามัย,แผนงานอนามัย,งานชันสูตรสาธารณสุข,ค,7,54419300
7,สำนักอนามัย,แผนงานอนามัย,งานพัฒนาระบบสาธารณสุข,ค,8,256001400
7,สำนักอนามัย,แผนงานอนามัย,งานสร้างเสริมสุขภาพ,ค,9,108227700
7,สำนักอนามัย,แผนงานอนามัย,งานควบคุมโรคติดต่อ,ค,10,103567500
7,สำนักอนามัย,แผนงานอนามัย,งานสัตวแพทย์สาธารณสุข,ค,11,115710800
7,สำนักอนามัย,แผนงานอนามัย,โครงการก่อสร้างอาคารศูนย์ควบคุมสุนัขกรุงเทพมหานคร (ประเวศ),ค,12,15600000
7,สำนักอนามัย,แผนงานอนามัย,งานควบคุมโรคเอดส์ วัณโรคและโรคติดต่อทางเพศสัมพันธ์,ค,13,28847800
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,งานบริหารท่ัวไปด้านการศึกษา,ก,1,108343488
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียน  ชั้น โรงเรียนมีนบุรี สำนักงานเขตมีนบุรี,ก,2,524659100
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียน  ชั้นโรงเรียนสุเหร่าบางชัน สำนักงานเขตมีนบุรี,ก,3,512844558
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียน  ชั้นโรงเรียนสุเหร่าคลองหน่ึง (มานะราษฎร์บำรุง)สำนักงานเขตคลองสามวา,ก,4,510265668
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียน  ชั้น และปรับปรุงลานอเนกประสงค์ โรงเรียนวัดบางกระด่ี สำนักงานเขตบางขุนเทียน,ก,5,512408000
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียน  ชั้น โรงเรียนคงโครัดอุทิศ สำนักงานเขตบางบอน,ก,6,511580789
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียน  ชั้น โรงเรียนแย้มจาดวิชชานุสรณ์ สำนักงานเขตบึงกุ่ม,ก,7,58545440
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารอเนกประสงค์  ชั้นโรงเรียนวัดตล่ิงชัน (ป่ินทองสัณฐาคาร)สำนักงานเขตตล่ิงชัน,ก,8,39954000
8,สำนักการศึกษา,แผนงานบริหารท่ัวไป,โครงการก่อสร้างอาคารเรียนและอาคารประกอบโรงเรียนบ้านขุนประเทศ สำนักงานเขตหนองแขม,ก,9,13090000
