Unnamed: 0,หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,แผนงาน,งบแผนงาน,dname,province,zipcode,latitude,longitude,AREA,dcode,dname_e,pcode,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health,ประเภทแผนงาน
0,1,งบกลาง,14878887438,ก,เงินสำรองจ่ายท่ัวไป,486536500,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
1,1,งบกลาง,14878887438,ข,เงินช่วยเหลือข้าราชการและลูกจ้าง,2700000000,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
2,1,งบกลาง,14878887438,ค,เงินบำเหน็จลูกจ้าง,650000000,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
3,1,งบกลาง,14878887438,ง,ค่าติดต้ังไฟฟ้าสาธารณะ,200000000,,,,,,,,,,,,,,,,,โยธา/ก่อสร้าง/จราจร
4,1,งบกลาง,14878887438,จ,เงินสำรองสำหรับค่างาน ส่วนท่ีเพิ่มตามสัญญา แบบปรับราคาได้,20000000,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
5,1,งบกลาง,14878887438,ช,ค่าใช้จ่ายเก่ียวกับภารกิจและ หรือนโยบายท่ีได้รับมอบจากรัฐบาล,4395109000,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
6,1,งบกลาง,14878887438,ซ,เงินรางวัลและเงินช่วยเหลือสำหรับผลการปฏิบัติราชการประจำปี,2000000000,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
7,1,งบกลาง,14878887438,ญ,เงินสำรองสำหรับภาระผูกพันท่ีค้างจ่ายตามกฎหมาย,1555873938,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
8,1,งบกลาง,14878887438,ฎ,เงินช่วยค่าครองชีพผู้ได้รับบำนาญของกรุงเทพมหานคร,218000000,,,,,,,,,,,,,,,,,พัฒนาชุมชน/อาชีพ
9,1,งบกลาง,14878887438,ฏ,เงินสำรองสำหรับจ่ายเป็นเงินบำเหน็จบำนาญข้าราชการกรุงเทพมหานคร,2353368000,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
10,2,สำนักงานเลขานุการสภากรุงเทพมหานคร,82258900,,รายจ่ายประจำ: งานบริหารท่ัวไป,82258900,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
11,3,สำนักงานเลขานุการผู้ว่าราชการกรุงเทพมหานคร,70920000,,รายจ่ายประจำ: งานบริหารท่ัวไป,70920000,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
12,4,สำนักงานคณะกรรมการข้าราชการกรุงเทพมหานคร,199359000,,รายจ่ายประจำ: งานบริหารงานบุคคล,199359000,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
13,5,สำนักปลัดกรุงเทพมหานคร,1252316900,,รายจ่ายประจำ,1252316900,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
14,5,สำนักปลัดกรุงเทพมหานคร,1252316900,ก,แผนงานบริหารท่ัวไป,222688400,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
15,5,สำนักปลัดกรุงเทพมหานคร,1252316900,ข,แผนงานบริหารงานปกครองและทะเบียน: งานปกครองและทะเบียน,302761800,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
16,5,สำนักปลัดกรุงเทพมหานคร,1252316900,ค,แผนงานบริหารการคลัง: งานตรวจสอบภายใน,29591800,,,,,,,,,,,,,,,,,การคลัง
17,5,สำนักปลัดกรุงเทพมหานคร,1252316900,ง,แผนงานบริหารงานบุคคล,160469500,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
18,5,สำนักปลัดกรุงเทพมหานคร,1252316900,จ,แผนงานส่งเสริมระบบบริหาร,536805400,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
19,6,สำนักการแพทย์,4124634800,,รายจ่ายประจำ,4124634800,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
20,6,สำนักการแพทย์,4124634800,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการสาธารณสุข,99145300,,,,,,,,,,,,,,,,,อนามัย/สาธารณะสุข
21,6,สำนักการแพทย์,4124634800,ข,แผนงานบริการด้านการแพทย์,4008758600,,,,,,,,,,,,,,,,,การแพทย์/โรงพยาบาล
22,6,สำนักการแพทย์,4124634800,ค,แผนงานพัฒนาด้านการแพทย์และอนามัย: งานพัฒนาระบบบริการทางการแพทย์,16730900,,,,,,,,,,,,,,,,,การแพทย์/โรงพยาบาล
23,7,สำนักอนามัย,2474279800,,รายจ่ายประจำ,2474279800,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
24,7,สำนักอนามัย,2474279800,ก,แผนงานบริหารท่ัวไป,85100100,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
25,7,สำนักอนามัย,2474279800,ข,แผนงานอนามัยส่ิงแวดล้อม,64194500,,,,,,,,,,,,,,,,,สิ่งแวดล้อม
26,7,สำนักอนามัย,2474279800,ค,แผนงานอนามัย,2324985200,,,,,,,,,,,,,,,,,อนามัย/สาธารณะสุข
27,8,สำนักการศึกษา,1241703800,,รายจ่ายประจำ,1241703800,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
28,8,สำนักการศึกษา,1241703800,ก,แผนงานบริหารท่ัวไป,511645100,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
29,8,สำนักการศึกษา,1241703800,ข,แผนงานพัฒนาคุณภาพการศึกษา,730058700,,,,,,,,,,,,,,,,,การศึกษา
30,9,สำนักการโยธา,9229858000,,รายจ่ายประจำ,9229858000,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
31,9,สำนักการโยธา,9229858000,ก,แผนงานบริหารท่ัวไป,134049980,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
32,9,สำนักการโยธา,9229858000,ข,แผนงานการโยธา,7504680720,,,,,,,,,,,,,,,,,โยธา/ก่อสร้าง/จราจร
33,9,สำนักการโยธา,9229858000,,ถนนหน้าพระลาน,8000000,,,,,,,,,,,,,,,,,โยธา/ก่อสร้าง/จราจร
34,9,สำนักการโยธา,9229858000,ค,แผนงานพัฒนาการโยธาและระบบจราจร,1591127300,,,,,,,,,,,,,,,,,โยธา/ก่อสร้าง/จราจร
35,10,สำนักการระบายน้ำ,8213452000,,รายจ่ายประจำ,8213452000,,,,,,,,,,,,,,,,,น้ำท่วม/ทางเท้า
36,10,สำนักการระบายน้ำ,8213452000,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการระบายน้ำ,37969359,,,,,,,,,,,,,,,,,น้ำท่วม/ทางเท้า
37,10,สำนักการระบายน้ำ,8213452000,ข,แผนงานพัฒนาระบบระบายน้ำ,2499271826,,,,,,,,,,,,,,,,,น้ำท่วม/ทางเท้า
38,10,สำนักการระบายน้ำ,8213452000,ค,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม,2765737870,,,,,,,,,,,,,,,,,น้ำท่วม/ทางเท้า
39,10,สำนักการระบายน้ำ,8213452000,ง,แผนงานจัดการคุณภาพน้ำ,2910472945,,,,,,,,,,,,,,,,,น้ำท่วม/ทางเท้า
40,10,สำนักการระบายน้ำ,8213452000,,ริมคลองแสนแสบช่วงถนนวิทยุ-คลองตัน เข้าโรงควบคุมคุณภาพน้ำดินแดง,160804000,,,,,,,,,,,,,,,,,น้ำท่วม/ทางเท้า
41,11,สำนักการคลัง,3606450400,,รายจ่ายประจำ,3606450400,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
42,11,สำนักการคลัง,3606450400,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไป,21528800,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
43,11,สำนักการคลัง,3606450400,ข,แผนงานบริหารการคลัง,3230030900,,,,,,,,,,,,,,,,,การคลัง
44,11,สำนักการคลัง,3606450400,ค,แผนงานส่งเสริมระบบบริหาร,354890700,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
45,12,สำนักเทศกิจ,184580000,,รายจ่ายประจำ,184580000,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
46,12,สำนักเทศกิจ,184580000,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการรักษาความสะอาด,40694400,,,,,,,,,,,,,,,,,เทศกิจ/รักษาความสะอาด
47,12,สำนักเทศกิจ,184580000,ข,แผนงานส่งเสริมระบบบริหาร: งานศูนย์วิทยุส่ือสารกรุงเทพมหานคร,27442200,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
48,12,สำนักเทศกิจ,184580000,ค,แผนงานพัฒนาและส่งเสริม: งานนโยบายและแผนงาน,12513700,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
49,12,สำนักเทศกิจ,184580000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย,103929700,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
50,13,สำนักการจราจรและขนส่ง,4327231000,,รายจ่ายประจำ,4327231000,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
51,13,สำนักการจราจรและขนส่ง,4327231000,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการโยธาและระบบจราจร,26537900,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
52,13,สำนักการจราจรและขนส่ง,4327231000,ข,แผนงานพัฒนาการใช้ท่ีดินและระบบจราจร,4300693100,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
53,13,สำนักการจราจรและขนส่ง,4327231000,,สายไฟฟ้าอากาศเป็นสายไฟฟ้าใต้ดินของการไฟฟ้านครหลวง บริเวณถนนรัชดาภิเษก - ถนนพระราม  และบริเวณถนนรัชดาภิเษก - ถนนอโศก,923119000,,,,,,,,,,,,,,,,,โยธา/ก่อสร้าง/จราจร
54,13,สำนักการจราจรและขนส่ง,4327231000,,ต่อการเกิดอาชญากรรมในพื นท่ีกลุ่มกรุงเทพตะวันออก,12302200,,,,,,,,,,,,,,,,,พัฒนาชุมชน/อาชีพ
55,14,สำนักป้องกันและบรรเทาสาธารณภัย,424927020,,รายจ่ายประจำ,424927020,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
56,14,สำนักป้องกันและบรรเทาสาธารณภัย,424927020,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการพัฒนาและบริการสังคม,48956100,,,,,,,,,,,,,,,,,พัฒนาชุมชน/อาชีพ
57,14,สำนักป้องกันและบรรเทาสาธารณภัย,424927020,ข,แผนงานป้องกันและบรรเทาสาธารณภัย,375970920,,,,,,,,,,,,,,,,,พัฒนาชุมชน/อาชีพ
58,15,สำนักงบประมาณกรุงเทพมหานคร,103406000,,รายจ่ายประจำ,103406000,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
59,15,สำนักงบประมาณกรุงเทพมหานคร,103406000,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไป,41802900,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
60,15,สำนักงบประมาณกรุงเทพมหานคร,103406000,ข,แผนงานบริหารการคลัง: งานงบประมาณ,61603100,,,,,,,,,,,,,,,,,การคลัง
61,16,สำนักยุทธศาสตร์และประเมินผล,706753000,,รายจ่ายประจำ,706753000,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
62,16,สำนักยุทธศาสตร์และประเมินผล,706753000,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไป,17628300,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
63,16,สำนักยุทธศาสตร์และประเมินผล,706753000,ข,แผนงานส่งเสริมระบบบริหาร,663090300,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
64,16,สำนักยุทธศาสตร์และประเมินผล,706753000,ค,แผนงานพัฒนาการใช้ท่ีดินและระบบจราจร: งานสารสนเทศภูมิศาสตร์,26034400,,,,,,,,,,,,,,,,,โยธา/ก่อสร้าง/จราจร
65,17,สำนักส่ิงแวดล้อม,7542229000,,รายจ่ายประจำ,7542229000,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
66,17,สำนักส่ิงแวดล้อม,7542229000,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการรักษาความสะอาด,75096550,,,,,,,,,,,,,,,,,เทศกิจ/รักษาความสะอาด
67,17,สำนักส่ิงแวดล้อม,7542229000,ข,แผนงานพัฒนาและส่งเสริม,53280813,,,,,,,,,,,,,,,,,เทศกิจ/รักษาความสะอาด
68,17,สำนักส่ิงแวดล้อม,7542229000,ค,แผนงานรักษาความสะอาด,5955074487,,,,,,,,,,,,,,,,,เทศกิจ/รักษาความสะอาด
69,17,สำนักส่ิงแวดล้อม,7542229000,,อย่างถูกสุขลักษณะ,587193800,,,,,,,,,,,,,,,,,เทศกิจ/รักษาความสะอาด
70,17,สำนักส่ิงแวดล้อม,7542229000,,อย่างถูกหลักสุขาภิบาล,1000000,,,,,,,,,,,,,,,,,เทศกิจ/รักษาความสะอาด
71,17,สำนักส่ิงแวดล้อม,7542229000,ง,แผนงานพัฒนาสภาวะส่ิงแวดล้อม,1458777150,,,,,,,,,,,,,,,,,สิ่งแวดล้อม
72,18,สำนักวัฒนธรรม กีฬาและการท่องเท่ียว,1397374600,,รายจ่ายประจำ,1397374600,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
73,18,สำนักวัฒนธรรม กีฬาและการท่องเท่ียว,1397374600,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการพัฒนาและบริการสังคม,70225400,,,,,,,,,,,,,,,,,ทั่วไป/บริหาร/อื่นๆ
74,18,สำนักวัฒนธรรม กีฬาและการท่องเท่ียว,1397374600,ข,แผนงานบริการสังคม,681076700,,,,,,,,,,,,,,,,,พัฒนาชุมชน/อาชีพ
75,18,สำนักวัฒนธรรม กีฬาและการท่องเท่ียว,1397374600,ค,แผนงานการท่องเท่ียว: งานวัฒนธรรมและการท่องเท่ียว,81099400,,,,,,,,,,,,,,,,,ท่องเที่ยว/กีฬา
