หมายเลขงบ,ชื่องบ,ประเภทแผนงาน,dname,จำนวนรวม,หมายเลขงบแผนงาน,แผนงาน,งบแผนงาน,OBJECTID,AREA,dcode,dname_e,pcode,pname,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health
21,สำนักงานเขตพระนคร,สิ่งแวดล้อม,พระนคร,412864000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,26083100,42.0,5361067.0,1001.0,Phra Nakhon,10.0,กรุงเทพมหานคร,27809.0,30022.0,11.0,0.0,21.0,23.0,2.0
21,สำนักงานเขตพระนคร,เทศกิจ/รักษาความสะอาด,พระนคร,412864000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,73902900,42.0,5361067.0,1001.0,Phra Nakhon,10.0,กรุงเทพมหานคร,27809.0,30022.0,11.0,0.0,21.0,23.0,2.0
21,สำนักงานเขตพระนคร,การคลัง,พระนคร,412864000,ข,แผนงานบริหารการคลัง,10676100,42.0,5361067.0,1001.0,Phra Nakhon,10.0,กรุงเทพมหานคร,27809.0,30022.0,11.0,0.0,21.0,23.0,2.0
21,สำนักงานเขตพระนคร,พัฒนาชุมชน/อาชีพ,พระนคร,412864000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,11621000,42.0,5361067.0,1001.0,Phra Nakhon,10.0,กรุงเทพมหานคร,27809.0,30022.0,11.0,0.0,21.0,23.0,2.0
21,สำนักงานเขตพระนคร,โยธา/ก่อสร้าง/จราจร,พระนคร,412864000,จ,แผนงานการโยธา: งานการโยธา,13901000,42.0,5361067.0,1001.0,Phra Nakhon,10.0,กรุงเทพมหานคร,27809.0,30022.0,11.0,0.0,21.0,23.0,2.0
21,สำนักงานเขตพระนคร,น้ำท่วม/ทางเท้า,พระนคร,412864000,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,8121900,42.0,5361067.0,1001.0,Phra Nakhon,10.0,กรุงเทพมหานคร,27809.0,30022.0,11.0,0.0,21.0,23.0,2.0
21,สำนักงานเขตพระนคร,ทั่วไป/บริหาร/อื่นๆ,พระนคร,412864000,ก,แผนงานบริหารงานปกครองและทะเบียน,26040000,42.0,5361067.0,1001.0,Phra Nakhon,10.0,กรุงเทพมหานคร,27809.0,30022.0,11.0,0.0,21.0,23.0,2.0
21,สำนักงานเขตพระนคร,อนามัย/สาธารณะสุข,พระนคร,412864000,,งานควบคุมอนามัย,6791400,42.0,5361067.0,1001.0,Phra Nakhon,10.0,กรุงเทพมหานคร,27809.0,30022.0,11.0,0.0,21.0,23.0,2.0
21,สำนักงานเขตพระนคร,การศึกษา,พระนคร,412864000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,43502300,42.0,5361067.0,1001.0,Phra Nakhon,10.0,กรุงเทพมหานคร,27809.0,30022.0,11.0,0.0,21.0,23.0,2.0
21,สำนักงานเขตพระนคร,เทศกิจ/รักษาความสะอาด,พระนคร,412864000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,192224300,42.0,5361067.0,1001.0,Phra Nakhon,10.0,กรุงเทพมหานคร,27809.0,30022.0,11.0,0.0,21.0,23.0,2.0
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,โยธา/ก่อสร้าง/จราจร,ป้อมปราบศัตรูพ่าย,252196000,จ,แผนงานการโยธา: งานการโยธา,13342100,43.0,2504113.0,1008.0,Pom Prap Sattru Phai,10.0,กรุงเทพมหานคร,24786.0,26144.0,4.0,1.0,15.0,11.0,1.0
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,เทศกิจ/รักษาความสะอาด,ป้อมปราบศัตรูพ่าย,252196000,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,113250200,43.0,2504113.0,1008.0,Pom Prap Sattru Phai,10.0,กรุงเทพมหานคร,24786.0,26144.0,4.0,1.0,15.0,11.0,1.0
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,สิ่งแวดล้อม,ป้อมปราบศัตรูพ่าย,252196000,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,14131200,43.0,2504113.0,1008.0,Pom Prap Sattru Phai,10.0,กรุงเทพมหานคร,24786.0,26144.0,4.0,1.0,15.0,11.0,1.0
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,การศึกษา,ป้อมปราบศัตรูพ่าย,252196000,ญ,แผนงานบริหารการศึกษา: งานบริหารการศึกษา,18583900,43.0,2504113.0,1008.0,Pom Prap Sattru Phai,10.0,กรุงเทพมหานคร,24786.0,26144.0,4.0,1.0,15.0,11.0,1.0
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,การคลัง,ป้อมปราบศัตรูพ่าย,252196000,ข,แผนงานบริหารการคลัง,9054800,43.0,2504113.0,1008.0,Pom Prap Sattru Phai,10.0,กรุงเทพมหานคร,24786.0,26144.0,4.0,1.0,15.0,11.0,1.0
