หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,แผนงาน,งบแผนงาน,dname,ประเภทแผนงาน,OBJECTID,AREA,dcode,dname_e,pcode,pname,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health
21,สำนักงานเขตพระนคร,412864000,,รายจ่ายประจำ,412864000,พระนคร,ทั่วไป/บริหาร/อื่นๆ,42.0,5361067.0,1001.0,Phra Nakhon,10.0,กรุงเทพมหานคร,27809.0,30022.0,11.0,0.0,21.0,23.0,2.0
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,252196000,,รายจ่ายประจำ,252196000,ป้อมปราบศัตรูพ่าย,ทั่วไป/บริหาร/อื่นๆ,43.0,2504113.0,1008.0,Pom Prap Sattru Phai,10.0,กรุงเทพมหานคร,24786.0,26144.0,4.0,1.0,15.0,11.0,1.0
23,สำนักงานเขตสัมพันธวงศ์,208176600,,รายจ่ายประจำ,208176600,สัมพันธวงศ์,ทั่วไป/บริหาร/อื่นๆ,50.0,1392972.75,1013.0,Samphanthawong,10.0,กรุงเทพมหานคร,13317.0,14109.0,3.0,0.0,19.0,13.0,1.0
24,สำนักงานเขตบางรัก,246445000,,รายจ่ายประจำ,246445000,บางรัก,ทั่วไป/บริหาร/อื่นๆ,55.0,4012576.0,1004.0,Bang Rak,10.0,กรุงเทพมหานคร,21788.0,24324.0,5.0,0.0,16.0,5.0,1.0
25,สำนักงานเขตปทุมวัน,354141000,,รายจ่ายประจำ,354141000,ปทุมวัน,ทั่วไป/บริหาร/อื่นๆ,44.0,8032768.0,1007.0,Parthum Wan,10.0,กรุงเทพมหานคร,24883.0,29029.0,8.0,0.0,17.0,6.0,2.0
26,สำนักงานเขตยานนาวา,310196614,,รายจ่ายประจำ,310196614,ยานนาวา,ทั่วไป/บริหาร/อื่นๆ,60.0,12504782.0,1012.0,Yan na wa,10.0,กรุงเทพมหานคร,38959.0,42570.0,6.0,0.0,20.0,9.0,2.0
27,สำนักงานเขตดุสิต,401245000,,รายจ่ายประจำ,401245000,ดุสิต,ทั่วไป/บริหาร/อื่นๆ,36.0,11329900.0,1002.0,Dusit,10.0,กรุงเทพมหานคร,57582.0,50387.0,9.0,1.0,47.0,17.0,2.0
28,สำนักงานเขตพญาไท,335172500,,รายจ่ายประจำ,335172500,พญาไท,ทั่วไป/บริหาร/อื่นๆ,39.0,9214668.0,1014.0,Phaya Thai,10.0,กรุงเทพมหานคร,36433.0,36651.0,1.0,0.0,29.0,1.0,2.0
29,สำนักงานเขตห้วยขวาง,352262000,,รายจ่ายประจำ,352262000,ห้วยขวาง,ทั่วไป/บริหาร/อื่นๆ,30.0,16319268.0,1017.0,Huai Khwang,10.0,กรุงเทพมหานคร,35884.0,42323.0,3.0,0.0,25.0,3.0,2.0
30,สำนักงานเขตพระโขนง,281172800,,รายจ่ายประจำ,281172800,พระโขนง,ทั่วไป/บริหาร/อื่นๆ,64.0,13578695.0,1009.0,Phra Khanong,10.0,กรุงเทพมหานคร,43142.0,50319.0,4.0,0.0,45.0,4.0,2.0
31,สำนักงานเขตบางกะปิ,524131000,,รายจ่ายประจำ,524131000,บางกะปิ,ทั่วไป/บริหาร/อื่นๆ,28.0,27587404.0,1006.0,Bang Kapi,10.0,กรุงเทพมหานคร,67729.0,80762.0,11.0,0.0,28.0,5.0,1.0
32,สำนักงานเขตบางเขน,421948600,,รายจ่ายประจำ,421948600,บางเขน,ทั่วไป/บริหาร/อื่นๆ,16.0,40959096.0,1005.0,Bang Khen,10.0,กรุงเทพมหานคร,90854.0,98833.0,5.0,0.0,75.0,4.0,0.0
33,สำนักงานเขตมีนบุรี,509962100,,รายจ่ายประจำ,509962100,มีนบุรี,ทั่วไป/บริหาร/อื่นๆ,22.0,61120416.0,1010.0,Min Buri,10.0,กรุงเทพมหานคร,65039.0,72256.0,13.0,0.0,62.0,6.0,1.0
